,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
432,0.0,0.4383954154727794,0.7476635514018691,1.0,0.5244755244755245,0.3283582089552239,0.015267175572519083,0.0,0.0,0.5454545454545454,0.0,1.0,0.23529411764705882,0.012552301255230125
134,1.0,0.6962750716332379,0.1308411214953271,1.0,0.34965034965034963,0.12686567164179105,0.0,1.0,1.0,0.0,1.0,1.0,0.2411764705882353,0.0041841004184100415
161,0.0,0.5128939828080229,0.22429906542056074,1.0,0.1888111888111888,1.0,0.10687022900763359,0.0,1.0,0.0,0.0,1.0,0.0,0.0
444,1.0,0.12034383954154727,0.04205607476635514,1.0,0.5244755244755245,1.0,0.022900763358778626,0.0,1.0,0.0,1.0,1.0,0.4,0.0
186,1.0,0.6131805157593123,0.40186915887850466,1.0,1.0,0.1318407960199005,0.6412213740458015,1.0,1.0,0.0,0.0,0.07941653160453808,0.5705882352941176,0.0
577,0.0,0.8767908309455588,0.5700934579439252,1.0,0.35664335664335667,0.3283582089552239,0.48854961832061067,0.0,1.0,0.0,1.0,1.0,0.0,0.0
644,1.0,0.0830945558739255,0.4719626168224299,1.0,0.5244755244755245,1.0,0.06870229007633588,1.0,0.0,0.09090909090909091,1.0,1.0,0.0,0.12552301255230125
50,1.0,0.49283667621776506,0.37850467289719625,1.0,0.3356643356643357,1.0,0.09923664122137404,0.0,1.0,0.0,0.0,1.0,0.48823529411764705,0.0
652,1.0,0.3151862464183381,0.8598130841121495,1.0,0.15384615384615385,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.25882352941176473,0.6485355648535565
474,1.0,0.5243553008595988,0.0514018691588785,0.3078393881453155,0.26573426573426573,1.0,0.015267175572519083,0.0,1.0,0.0,1.0,1.0,0.36470588235294116,0.0
251,1.0,0.25501432664756446,0.8644859813084113,0.3078393881453155,0.35664335664335667,1.0,0.007633587786259542,0.0,1.0,0.0,0.0,1.0,0.21764705882352942,0.4686192468619247
346,0.0,0.4183381088825215,0.4953271028037383,1.0,0.15384615384615385,0.0,0.3893129770992366,1.0,0.0,0.22727272727272727,0.0,1.0,0.17647058823529413,0.4769874476987448
256,1.0,0.6217765042979942,0.16822429906542055,0.3078393881453155,0.1888111888111888,1.0,0.2748091603053435,0.0,1.0,0.0,0.0,1.0,0.8058823529411765,0.0
425,1.0,0.46131805157593125,0.9158878504672897,1.0,1.0,1.0,0.09923664122137404,1.0,1.0,0.0,1.0,1.0,0.21764705882352942,0.0
0,1.0,0.1833810888252149,0.780373831775701,1.0,0.3356643356643357,1.0,0.2900763358778626,0.0,1.0,0.0,0.0,1.0,0.18235294117647058,0.6694560669456067
78,1.0,0.2177650429799427,0.0,1.0,0.3356643356643357,1.0,0.19083969465648856,0.0,0.0,0.5,1.0,0.07941653160453808,0.0,0.0
336,0.0,0.5845272206303725,0.14953271028037382,1.0,1.0,1.0,0.3511450381679389,1.0,0.0,0.5,1.0,1.0,0.0,0.4602510460251046
153,1.0,0.08882521489971347,0.06074766355140187,0.3078393881453155,1.0,1.0,0.030534351145038167,0.0,0.0,0.045454545454545456,1.0,1.0,0.4,0.0041841004184100415
593,1.0,0.1346704871060172,0.29439252336448596,1.0,1.0,1.0,0.3511450381679389,1.0,0.0,0.5,0.0,1.0,0.4,0.8326359832635983
192,0.0,0.38108882521489973,0.38317757009345793,1.0,0.3916083916083916,0.1318407960199005,0.09923664122137404,1.0,1.0,0.0,0.0,1.0,0.3411764705882353,0.0
133,0.0,0.31805157593123207,0.3177570093457944,0.3078393881453155,1.0,1.0,0.015267175572519083,0.0,1.0,0.0,1.0,0.07941653160453808,0.13529411764705881,0.0
64,0.0,0.25501432664756446,0.07476635514018691,1.0,0.5244755244755245,0.3283582089552239,0.2748091603053435,1.0,1.0,0.0,1.0,1.0,0.5705882352941176,0.5857740585774058
