,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34
320,1.0,0,1.0,0.494105,1.0,0.498285,1.0,0.492175,1.0,0.492175,1.0,0.485955,1.0,0.48906499999999997,0.9991399999999999,0.484565,0.9976400000000001,0.48381,0.99657,0.48274,1.0,0.480595,1.0,0.474805,1.0,0.475345,0.9992099999999999,0.472365,0.997,0.46848,0.995285,0.467515,0.994855,0.46666
25,1.0,0,1.0,0.7891,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.18602000000000002,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
190,0.0,0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
255,1.0,0,0.917135,0.695605,0.7702,0.892895,0.56163,0.94701,0.333895,0.91789,0.14956999999999998,0.79782,0.06689,0.609545,0.07779000000000003,0.37918,0.20143,0.19052999999999998,0.40323,0.06106499999999998,0.562195,0.054680000000000006,0.755545,0.13773000000000002,0.895715,0.36133000000000004,0.9150400000000001,0.54359,0.8329599999999999,0.745395,0.68771,0.850055,0.480085,0.89722
99,1.0,0,0.87042,0.52487,0.89537,0.512715,0.892875,0.518965,0.83115,0.54974,0.839005,0.65576,0.87967,0.53674,0.873475,0.54221,0.853405,0.460735,0.818065,0.5,0.850105,0.556775,0.8409150000000001,0.560925,0.83508,0.577225,0.82079,0.56804,0.828535,0.587695,0.7987949999999999,0.573485,0.787275,0.57557
186,1.0,0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5
91,1.0,0,0.922785,0.4571,0.341275,0.09723500000000002,0.455195,0.217825,0.90324,0.52288,0.94757,0.496185,0.40753,0.8198300000000001,0.399905,0.159675,0.928505,0.44328,0.889895,0.421355,0.465205,0.75405,0.32936,0.90467,0.89466,0.48141,0.85441,0.37356,0.88942,0.42945500000000003,0.39322999999999997,0.10915000000000002,0.40753,0.20066499999999998
39,1.0,0,1.0,0.512305,0.99836,0.524305,0.987725,0.5357149999999999,0.808725,0.0,0.9551799999999999,0.555735,0.94231,0.7682,0.910385,0.570685,0.884645,0.575945,1.0,0.705015,0.82925,0.581855,0.80069,0.58258,0.77223,0.58195,0.744335,0.580095,0.717405,0.57718,0.69176,0.573385,1.0,1.0
234,1.0,0,0.843645,1.0,0.959865,0.11956499999999998,0.908865,0.52174,0.8804350000000001,0.55351,0.933945,0.86873,0.8503350000000001,0.591135,0.8795999999999999,0.56856,0.96739,0.37458,0.85368,0.593645,0.824415,0.62291,0.801005,0.8871249999999999,1.0,0.23076999999999998,0.94631,0.61108,0.85535,0.7692300000000001,1.0,0.46738999999999997,0.78261,0.619565
297,1.0,0,0.965735,0.64641,0.8995850000000001,0.77878,0.79976,0.85798,0.631015,0.963255,0.52318,0.9837400000000001,0.383815,0.97565,0.22037,0.90509,0.133355,0.811925,0.04502499999999998,0.681,0.03872999999999999,0.5302,0.031909999999999994,0.40081,0.08404,0.26547,0.17417500000000002,0.15222000000000002,0.293885,0.07137500000000002,0.43205,0.030235000000000012,0.550035,0.02588499999999999
343,1.0,0,0.67673,0.43116,0.846935,0.487885,0.840975,0.48213,0.7785850000000001,0.469405,0.80918,0.447665,0.810495,0.46736500000000003,0.796805,0.463555,0.711355,0.36795500000000003,0.791065,0.52496,0.74868,0.456145,0.731205,0.455055,0.72504,0.49718,0.69573,0.45481,0.67794,0.44847,0.66116,0.45681499999999997,0.644715,0.4585
86,1.0,0,0.837735,0.52264,0.884905,0.44717,0.88679,0.51887,0.83019,0.47736,0.82264,0.50566,0.83396,0.43019,0.860375,0.48868,0.884905,0.543395,0.809435,0.460375,0.879245,0.38112999999999997,0.86981,0.426415,0.9245300000000001,0.42453,0.8694299999999999,0.470995,0.83396,0.51132,0.932075,0.51887,0.8660399999999999,0.503775
5,1.0,0,0.511685,0.49704,0.45038,0.440255,0.496185,0.44088,0.57353,0.533185,0.51893,0.46849,0.5,0.5,0.47714,0.4223,0.498285,0.44902,0.442125,0.47293,0.50919,0.5183450000000001,0.507595,0.50444,0.517565,0.492325,0.4838,0.546115,0.46070500000000003,0.50366,0.5,0.5,0.499805,0.560055
