,class
577,1
814,0
628,1
126,1
845,1
639,0
692,1
563,0
276,1
163,1
806,1
100,1
389,1
547,1
890,1
11,0
493,1
258,1
741,1
500,0
232,1
408,1
742,1
921,1
775,0
573,1
50,1
669,1
486,1
115,1
349,0
156,1
530,1
771,0
239,1
415,1
571,1
416,0
281,1
800,1
816,1
26,1
245,1
114,1
268,0
430,1
541,1
954,1
794,1
422,1
49,1
492,1
363,1
510,0
134,1
153,1
773,1
865,1
110,1
846,0
911,0
740,1
532,1
660,1
720,0
758,1
552,0
230,0
336,1
102,1
858,0
623,1
298,1
769,1
431,0
540,0
867,1
866,1
640,0
217,1
489,1
478,1
341,1
683,1
565,1
40,1
112,1
257,0
913,1
446,0
658,1
307,0
359,0
914,0
690,1
679,1
352,1
198,1
664,1
149,1
696,1
871,1
946,0
78,1
726,1
53,1
616,1
844,1
15,0
736,0
468,1
412,0
920,1
65,1
316,1
697,1
271,1
774,1
834,0
645,0
473,1
310,1
879,1
173,1
789,0
344,1
247,1
724,0
825,1
428,1
391,1
84,1
991,1
942,1
187,1
986,1
372,1
81,1
792,1
915,0
967,1
523,1
673,1
432,1
508,1
22,1
782,1
635,1
990,1
659,1
93,1
870,1
282,1
521,0
594,0
667,1
600,1
55,1
399,1
158,1
801,1
357,0
783,0
757,0
997,1
280,1
448,1
626,1
75,1
676,1
251,1
612,1
203,0
453,1
33,1
817,1
581,1
755,0
892,1
433,1
17,1
13,0
549,1
727,0
82,1
64,1
776,1
780,0
919,0
396,1
292,1
5,1
337,0
146,1
981,0
580,0
205,1
546,1
151,1
718,1
401,1
228,0
734,1
750,1
680,1
567,1
227,0
725,1
278,0
120,0
856,1
898,1
968,1
633,0
117,1
662,1
88,1
893,1
998,0
617,1
206,1
439,0
68,0
689,1
459,1
451,1
641,1
875,1
89,0
711,0
591,1
30,1
34,1
229,1
619,1
435,0
661,0
79,1
729,1
299,1
576,1
502,1
570,0
330,1
826,0
305,1
86,1
21,1
551,1
918,0
461,1
96,1
388,1
708,1
896,1
241,1
106,0
444,0
837,1
462,1
836,1
487,1
59,0
857,1
881,1
959,1
833,1
254,1
226,0
319,1
884,0
411,1
630,1
131,0
668,0
24,1
471,0
832,0
604,1
394,1
4,0
474,0
670,1
345,1
728,0
212,0
828,0
176,1
977,1
417,1
249,0
157,1
165,1
815,1
495,0
252,0
760,1
441,1
377,1
279,1
705,1
542,0
751,0
772,1
296,1
58,1
952,0
606,1
634,0
339,1
905,1
972,0
331,0
283,1
704,1
460,1
916,1
657,1
988,1
169,0
798,1
447,1
805,0
811,1
132,1
231,1
554,1
390,1
464,1
763,0
119,1
384,1
37,0
548,0
54,0
407,1
738,1
303,1
201,1
346,1
808,1
583,0
244,1
62,0
543,0
721,0
522,0
962,1
996,1
150,1
323,1
264,1
194,0
731,0
855,1
575,1
597,0
148,1
170,0
830,1
520,1
539,1
943,1
536,1
781,1
0,1
681,1
638,1
477,1
443,0
199,0
265,0
966,0
236,0
578,0
166,0
382,1
901,1
506,1
934,1
819,0
31,1
608,1
953,0
527,1
87,0
566,0
841,1
107,1
122,1
364,0
160,1
863,1
939,1
957,1
496,0
116,0
965,1
427,1
601,0
57,1
41,1
691,1
885,0
366,1
