,Class
106,1
221,1
329,2
48,1
191,1
515,1
281,1
203,2
198,2
383,1
64,2
105,2
176,1
72,2
52,1
50,1
88,1
283,2
564,2
169,1
407,1
109,1
412,1
401,1
194,2
120,1
206,1
237,2
134,2
323,2
5,2
351,2
458,1
114,1
303,1
207,2
506,1
65,2
532,1
529,1
346,1
139,1
27,2
270,1
11,2
73,2
442,1
560,1
178,1
128,1
552,1
96,1
66,1
19,1
68,1
544,1
400,2
389,2
509,2
242,1
249,1
13,2
557,1
538,1
51,1
377,1
2,2
56,2
441,2
69,1
268,1
291,1
315,1
275,1
455,1
239,2
45,2
138,2
355,1
559,1
26,2
450,1
38,2
164,2
113,1
135,2
419,1
255,2
405,1
208,1
205,2
111,1
454,1
161,2
490,1
526,1
447,1
357,1
85,2
545,1
179,1
488,1
310,1
231,1
271,1
83,2
371,1
423,1
409,1
233,2
6,2
341,1
379,2
417,2
112,1
99,2
508,1
520,1
386,1
465,1
402,1
403,1
368,2
276,1
47,2
140,1
158,1
497,1
460,2
223,2
22,2
115,1
35,2
200,1
472,1
331,1
266,1
263,2
482,1
353,2
0,2
540,1
462,1
561,1
476,1
295,1
568,1
537,1
3,2
493,1
390,1
378,1
420,1
86,2
394,1
226,1
495,1
165,1
533,2
339,2
81,1
71,1
89,1
491,1
74,1
296,1
316,1
192,1
483,1
141,2
308,1
395,1
32,2
360,1
504,1
171,2
144,1
154,1
530,1
273,1
567,2
479,2
311,1
410,1
415,1
1,2
484,1
41,2
133,1
142,1
292,1
363,1
82,2
159,1
170,1
440,1
102,1
314,1
384,1
243,1
325,1
547,1
507,1
216,1
387,1
43,2
108,2
382,1
374,1
156,2
15,2
57,2
130,1
494,1
556,1
241,1
129,2
100,2
39,2
527,1
477,1
436,1
168,2
4,2
536,2
218,2
251,1
219,2
565,2
502,1
350,1
426,1
250,2
212,2
121,2
116,1
210,2
461,2
36,2
80,1
446,2
429,1
549,1
150,1
54,2
424,1
413,1
306,1
201,2
298,1
193,2
322,1
274,2
28,2
302,2
398,1
245,1
297,2
30,2
427,1
204,1
328,2
439,1
467,1
90,1
157,1
354,1
92,1
184,2
343,2
334,1
132,2
391,1
340,1
280,2
370,2
416,1
104,1
256,2
272,2
259,2
67,1
289,1
349,1
101,1
333,1
17,2
551,1
452,1
119,2
453,1
524,1
474,1
475,1
548,1
304,1
211,1
232,1
254,2
317,2
397,1
225,1
411,1
523,1
550,1
514,2
332,1
145,1
49,1
487,2
366,2
163,1
525,1
103,1
558,1
209,1
480,1
282,2
433,2
361,1
430,2
77,2
189,1
215,2
492,2
512,2
240,1
70,2
367,1
202,2
265,2
301,1
136,1
183,1
428,1
12,2
342,1
501,2
58,1
196,2
451,2
42,2
392,2
269,1
546,1
123,1
146,2
21,1
287,1
528,1
260,2
500,1
122,2
481,1
496,1
414,2
432,2
125,1
60,1
469,1
18,2
173,1
199,2
76,1
388,1
435,2
408,2
180,2
151,1
485,1
425,1
434,1
375,1
457,1
172,2
29,2
345,1
443,1
53,2
181,2
91,2
347,1
177,2
33,2
44,2
464,1
149,1
372,2
335,2
489,2
338,1
117,2
234,1
14,2
318,1
486,1
534,1
313,1
