,LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL
2583,0.011494252873563218,0.011428571428571429,0.027777777777777776,0.04081632653061224,0.008547008547008548,0.0,0.010471204188481676,0.3,0.0,0.005405405405405406,0.0,0.009698275862068966,0.0,0.0,0.010380622837370242,0.1,0.0,0.0,0.08108961705487563,0.005253184293218835,1.2616569327757375e-05,0.002407704654895666,0.004400229577195332,0.115,1.2616248344933359e-05,0.002404491309339974,0.0,0.0,0.0,0.009497964721845319,0.105,0.004387889425186486,0.004409769335142469,0.04060913705583756,0.07,0.01790633608815427,0.47462406015037595,0.01564945226917058
8312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0034602076124567475,0.0,0.0,0.0,0.021042242400315832,0.0017990357168557653,3.8511136757074887e-07,0.0,0.0007652573177731012,0.335,3.8703692266965896e-07,0.00021406555168840188,1.0,0.0,0.0,0.0,0.125,0.00043878894251864854,0.0010176390773405698,0.005076142131979695,0.03,0.004132231404958678,0.0,0.003129890453834116
8954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,1.0,0.030556652191077772,0.0017990357168557653,5.587324091172282e-07,0.0,0.0009565716472163765,0.335,5.603370372978644e-07,0.00031066263188779324,1.0,0.0,0.0,0.0,0.5,0.0008775778850372971,0.0010176390773405698,0.01015228426395939,0.03,0.0,0.0,0.0
2861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,1.0,0.01875246742992499,0.0011993571445705101,1.524399163300881e-07,0.0,0.0005739429883298259,0.5,1.501934326777781e-07,0.0001271014213149886,1.0,0.0,0.0,0.0,0.5,0.00043878894251864854,0.0006784260515603799,0.005076142131979695,0.02,0.0,0.0,0.0
3082,0.0,0.005714285714285714,0.027777777777777776,0.0,0.0,0.006349206349206349,0.005235602094240838,0.5,0.00641025641025641,0.005405405405405406,1.0,0.005387931034482759,0.0,0.0,0.006920415224913495,0.0,0.010416666666666666,1.0,0.04295302013422819,0.006716400009594857,1.0952888219851742e-05,0.0016051364365971107,0.00325234360053568,0.09,1.0952567244502588e-05,0.0016306443399864013,0.0,0.006289308176100629,0.006349206349206349,0.005427408412483039,0.165,0.0035103115401491883,0.0030529172320217096,0.025380710659898477,0.07,0.006887052341597796,0.0,0.006259780907668232
1897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,1.0,0.030596131069877613,0.0023987142891410203,9.955128851703858e-07,0.0008025682182985554,0.0011478859766596518,0.25,9.935873238683781e-07,0.00041501958833588915,1.0,0.0,0.0,0.0,0.25,0.0008775778850372971,0.0013568521031207597,0.01015228426395939,0.04,0.0013774104683195593,0.0,0.0
3711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0034602076124567475,0.0,0.005208333333333333,1.0,0.035452033162258194,0.0029983928614262757,1.8020002740914624e-06,0.0008025682182985554,0.0015305146355462024,0.2,1.802321192133337e-06,0.0006009890363651883,1.0,0.0,0.0,0.0,0.1,0.0008775778850372971,0.0020352781546811396,0.01015228426395939,0.05,0.005509641873278237,0.0,0.003129890453834116
514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021042242400315832,0.0017990357168557653,3.8511136757074887e-07,0.0,0.0007652573177731012,0.335,3.8703692266965896e-07,0.00021406555168840188,1.0,0.0,0.0,0.0,0.5,0.00043878894251864854,0.0010176390773405698,0.005076142131979695,0.03,0.0,0.0,0.0
6075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0034602076124567475,0.0,0.005208333333333333,1.0,0.035452033162258194,0.0029983928614262757,1.8020002740914624e-06,0.0008025682182985554,0.0015305146355462024,0.2,1.802321192133337e-06,0.0006009890363651883,1.0,0.0,0.0,0.0,0.1,0.0008775778850372971,0.0020352781546811396,0.01015228426395939,0.05,0.005509641873278237,0.0,0.003129890453834116
296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021042242400315832,0.0017990357168557653,3.8511136757074887e-07,0.0,0.0007652573177731012,0.335,3.8703692266965896e-07,0.00021406555168840188,1.0,0.0,0.0,0.0,0.5,0.00043878894251864854,0.0010176390773405698,0.005076142131979695,0.03,0.0,0.0,0.0
7734,0.011494252873563218,0.005714285714285714,0.027777777777777776,0.0,0.008547008547008548,0.006349206349206349,0.005235602094240838,0.2,0.00641025641025641,0.005405405405405406,1.0,0.00646551724137931,0.0,0.0,0.01730103806228374,0.0,0.010416666666666666,1.0,0.05582313462297671,0.012665211446664588,5.06225683410353e-05,0.0040128410914927765,0.00650468720107136,0.045,5.062096348289882e-05,0.003996068686143242,0.0,0.006289308176100629,0.006349206349206349,0.0067842605156037995,0.07,0.005704256252742431,0.007123473541383989,0.04060913705583756,0.13,0.01790633608815427,0.09492481203007518,0.01564945226917058
