,Class
674,1
1771,1
778,1
411,1
1557,1
838,1
1633,1
1161,1
1281,1
789,1
83,1
1329,1
1811,1
1692,1
1914,1
984,1
290,1
1355,1
2051,1
1576,1
383,1
2295,1
2093,1
2431,1
388,1
649,1
1541,1
2494,1
2512,1
1615,1
283,1
296,1
452,1
2014,1
1888,1
1141,1
1365,1
842,1
1981,1
1115,1
726,1
201,1
2237,1
192,1
883,1
611,1
215,1
445,1
1616,1
2179,1
1835,1
2491,1
2099,2
1523,1
1921,1
566,1
1124,1
2189,1
514,1
846,1
2177,1
679,1
1327,1
2290,1
1863,1
450,1
2132,1
205,1
2109,1
486,2
2269,1
1519,1
1934,1
607,2
1367,1
978,2
1413,1
2532,1
1753,1
1745,1
1410,1
1216,2
735,1
1664,1
975,1
663,1
1847,1
1009,1
1014,1
1886,1
2190,1
1388,1
1638,1
1876,1
757,1
1608,1
2156,1
1347,1
727,1
671,1
1068,1
1487,1
2399,1
1628,1
734,1
2016,1
2403,1
390,1
1813,1
851,1
182,1
721,1
1970,1
1758,1
1857,1
1625,1
995,1
2304,1
162,1
1203,1
1947,2
1659,1
1492,1
2422,1
33,1
1620,1
1864,1
2001,2
1873,1
19,1
692,1
908,1
258,1
1691,1
495,1
196,1
2485,1
1095,1
521,1
2299,1
2250,1
949,1
711,1
1215,1
695,1
133,1
526,1
2294,1
1321,1
675,1
212,1
1277,1
2273,1
2077,1
458,1
2317,1
781,1
2342,1
1397,2
1787,1
1891,1
1545,1
2092,1
970,1
101,1
1822,1
1621,1
1678,1
1045,1
909,1
2020,1
2500,1
634,1
2171,1
1199,2
1688,1
2079,1
1151,1
347,1
1165,1
430,1
1144,1
2068,1
1485,1
34,1
427,1
1358,1
1520,1
1171,1
357,1
1551,1
492,1
2045,1
2355,1
1898,1
61,1
240,2
2215,1
2476,1
2394,1
235,1
14,1
1378,1
1290,1
1476,1
2495,1
1769,1
804,1
246,1
380,1
1718,1
508,1
2337,1
96,1
1158,1
428,1
2343,1
1286,1
1368,1
2155,1
2086,1
369,1
1401,1
1373,1
1994,1
2081,1
2095,1
2473,1
1067,1
375,1
1649,2
766,1
1357,2
1214,1
323,1
540,1
498,1
1416,1
1752,1
74,1
1733,1
2009,1
1419,1
1526,1
1872,1
1471,1
524,1
2366,1
635,1
105,1
1186,1
1423,1
1529,1
1425,1
368,1
1224,1
643,1
17,1
