,Class
23,1
175,0
66,1
98,0
15,1
75,1
129,0
120,0
16,1
187,0
198,0
171,0
128,0
202,0
190,0
79,1
64,1
195,0
49,1
183,0
32,1
35,1
106,0
36,1
19,1
101,0
57,1
110,0
130,0
61,1
38,1
199,0
40,1
180,0
42,1
29,1
109,0
44,1
72,1
147,0
108,0
201,0
153,0
123,0
65,1
182,0
56,1
52,1
41,1
164,0
0,1
11,1
158,0
105,0
31,1
142,0
203,0
117,0
102,0
87,1
194,0
186,0
172,0
58,1
21,1
27,1
159,0
46,1
131,0
135,0
50,1
197,0
144,0
178,0
54,1
149,0
95,1
150,0
136,0
18,1
134,0
3,1
165,0
2,1
10,1
160,0
181,0
25,1
168,0
163,0
132,0
7,1
33,1
174,0
189,0
112,0
20,1
90,1
185,0
77,1
143,0
166,0
179,0
94,1
196,0
156,0
4,1
59,1
43,1
70,1
81,1
188,0
145,0
204,0
137,0
91,1
139,0
119,0
48,1
170,0
82,1
89,1
92,1
62,1
155,0
17,1
80,1
133,0
176,0
107,0
191,0
55,1
157,0
96,1
100,0
5,1
76,1
167,0
154,0
78,1
26,1
1,1
24,1
118,0
34,1
