,NumberOfFeatures,NumberOfInstances,Dimensionality,PercentageOfBinaryFeatures,StdvNominalAttDistinctValues,MeanNominalAttDistinctValues,ClassEntropy,AutoCorrelation,NumberOfNumericFeatures,NumberOfSymbolicFeatures,NumberOfBinaryFeatures,PercentageOfSymbolicFeatures,PercentageOfNumericFeatures,MajorityClassPercentage,MinorityClassPercentage,clusters_kmeans4
ozone-level-8hr,h,s,s,s,s,s,s,h,h,s,s,s,h,h,s,1
sonar,h,s,h,s,s,s,h,h,h,s,s,s,h,s,h,3
spambase,h,s,s,s,s,s,h,h,h,s,s,s,h,s,h,3
qsar-biodeg,h,s,s,s,s,s,h,h,h,s,s,s,h,s,h,3
kc3,h,s,s,s,s,s,s,h,h,s,s,s,h,h,s,1
mc1,h,h,s,s,s,s,s,h,h,s,s,s,h,h,s,1
pc3,s,s,s,s,s,s,s,h,h,s,s,s,h,h,s,1
mw1,s,s,s,s,s,s,s,h,h,s,s,s,h,h,s,1
pc4,s,s,s,s,s,s,h,h,h,s,s,s,h,h,s,1
kr-vs-kp,s,s,s,h,s,s,h,h,s,h,h,h,s,s,h,2
Satellite,s,s,s,s,s,s,s,h,s,s,s,s,h,h,s,1
pc2,s,s,s,s,s,s,s,h,s,s,s,s,h,h,s,1
ionosphere,s,s,s,s,s,s,h,s,s,s,s,s,h,s,h,3
steel-plates-fault,s,s,s,s,s,s,h,h,s,s,s,s,h,s,h,3
PhishingWebsites,s,h,s,h,s,s,h,s,s,h,h,h,s,s,h,2
wdbc,s,s,s,s,s,s,h,s,s,s,s,s,h,s,h,3
SPECT,s,s,s,h,s,s,h,h,s,h,h,h,s,h,s,2
kc2,s,s,s,s,s,s,h,h,s,s,s,s,h,h,s,1
pc1,s,s,s,s,s,s,s,h,s,s,s,s,h,h,s,1
kc1,s,s,s,s,s,s,h,h,s,s,s,s,h,h,s,1
credit-g,s,s,s,s,s,s,h,s,s,s,s,h,s,s,h,0
churn,s,s,s,s,s,s,h,h,s,s,s,s,h,h,s,1
climate-model-simulation-crashes,s,s,s,s,s,s,s,h,s,s,s,s,h,h,s,1
Australian,s,s,s,s,h,s,h,s,s,s,s,h,s,s,h,0
eeg-eye-state,s,h,s,s,s,s,h,h,s,s,s,s,h,s,h,3
heart-statlog,s,s,s,s,s,s,h,s,s,s,s,s,h,s,h,3
ilpd,s,s,s,s,s,s,h,s,s,s,s,s,h,s,h,3
tic-tac-toe,s,s,s,s,s,s,h,h,s,s,s,h,s,s,h,0
jEdit_4.0_4.2,s,s,s,s,s,s,h,h,s,s,s,s,h,s,h,3
diabetes,s,s,s,s,s,s,h,s,s,s,s,s,h,s,h,3
prnn_crabs,s,s,s,s,s,s,h,h,s,s,s,s,h,s,h,3
monks-problems-1,s,s,s,s,s,s,h,h,s,s,s,h,s,s,h,0
monks-problems-3,s,s,s,s,s,s,h,h,s,s,s,h,s,s,h,0
monks-problems-2,s,s,s,s,s,s,h,s,s,s,s,h,s,s,h,0
delta_ailerons,s,s,s,s,s,s,h,s,s,s,s,s,h,s,h,3
mozilla4,s,h,s,s,s,s,h,h,s,s,s,s,h,s,h,3
phoneme,s,s,s,s,s,s,h,s,s,s,s,s,h,s,h,3
blood-transfusion-service-center,s,s,s,s,s,s,h,h,s,s,s,s,h,h,s,3
banknote-authentication,s,s,s,s,s,s,h,h,s,s,s,s,h,s,h,3
haberman,s,s,s,s,h,h,h,h,s,s,s,s,h,s,h,0
analcatdata_lawsuit,s,s,s,s,s,s,s,h,s,s,s,s,h,h,s,1
